,res_id,name,lat,lng,cuisines,aggregate_rating,rating_text,votes,FirstCuisine,SecondCuisine,ThirdCuisine,FourthCuisine
303,16969911,Lucile's Creole Cafe,40.1682694444,-105.1011277778,"Cafe, Cajun",4.2,Very Good,80,Cafe, Cajun,,
304,16974838,Lucile's Creole Cafe,39.6123083333,-105.0242527778,"Cafe, Cajun",3.9,Good,67,Cafe, Cajun,,
305,16971980,Stella's Coffee Haus,39.6897277778,-104.9802333333,"Cafe, Desserts",4.2,Very Good,74,Cafe, Desserts,,
306,16973845,The French Press,39.7091970000,-105.0786280000,Cafe,4.0,Very Good,51,Cafe,,,
307,16967055,Aviano Coffee,39.7203361111,-104.9545361111,Cafe,3.8,Good,37,Cafe,,,
308,16971806,St. Mark's Coffeehouse,39.7433777778,-104.9629277778,"Cafe, Sandwich, Coffee and Tea",3.9,Good,34,Cafe, Sandwich, Coffee and Tea,
309,16969684,LaMar's Donuts and Coffee,39.6749370000,-104.8707120000,"Cafe, Donuts",3.5,Good,9,Cafe, Donuts,,
310,16967629,Cake Crumbs Bakery & Cafe,39.7495000000,-104.9174600000,"Desserts, Cafe",3.8,Good,39,Desserts, Cafe,,
311,16975911,Sugarmill,39.7574805556,-104.9869222222,"Desserts, Cafe",3.7,Good,24,Desserts, Cafe,,
312,16974339,Wooden Spoon Cafe & Bakery,39.7620000000,-105.0164111111,"Desserts, Cafe",4.2,Very Good,25,Desserts, Cafe,,
313,16974301,Ziggi's Coffee House,40.1658083333,-105.1022861111,Cafe,3.7,Good,22,Cafe,,,
314,16974525,Coffee at The Point,39.7545861111,-104.9778750000,Cafe,3.5,Good,13,Cafe,,,
315,16974555,Two Rivers Coffee,39.8378333333,-105.0834416667,Cafe,4.0,Very Good,28,Cafe,,,
316,16975525,The French Press,39.6743777778,-104.8102944444,Cafe,3.7,Good,29,Cafe,,,
317,16973173,In-Tea,39.6136583333,-105.0168694444,Cafe,3.9,Good,23,Cafe,,,
318,16973096,Fluid Coffee Bar,39.7462111111,-104.9809416667,Cafe,3.6,Good,29,Cafe,,,
319,16974531,Bittersweet,39.7109861111,-104.9812472222,"Cafe, Sandwich",3.4,Average,31,Cafe, Sandwich,,
320,16976918,Tea Cloud,39.7473833333,-104.9928138889,"Cafe, Bubble Tea",3.2,Average,7,Cafe, Bubble Tea,,
321,16970626,Pablo's Coffee,39.7254472222,-104.9790194444,Cafe,3.7,Good,28,Cafe,,,
322,16974065,Dazbog Coffee,39.7305361111,-104.9728777778,Cafe,3.5,Good,26,Cafe,,,
323,16976781,Pigtrain Coffee Company,39.7531250000,-105.0001972222,Cafe,3.1,Average,10,Cafe,,,
324,17969727,Carbon Cafe & Bar,39.7436800000,-104.9880300000,"Coffee and Tea, Cafe",3.3,Average,7,Coffee and Tea, Cafe,,
325,16973591,Hooked on Colfax,39.7403194444,-104.9496388889,"Cafe, Bagels",3.7,Good,22,Cafe, Bagels,,
326,16972773,Village Roaster Coffee & Tea,39.7122416667,-105.1006166667,"Cafe, Coffee and Tea",3.6,Good,17,Cafe, Coffee and Tea,,
327,16972547,Cafe 13,39.7541083333,-105.2213888889,"Cafe, Sandwich",3.7,Good,21,Cafe, Sandwich,,
328,16975011,Denver Bicycle Cafe,39.7431444444,-104.9705888889,"Cafe, Coffee and Tea",3.5,Good,15,Cafe, Coffee and Tea,,
329,16974235,The Bardo Coffee House,39.7124700000,-104.9874500000,"Cafe, Desserts",3.9,Good,19,Cafe, Desserts,,
330,16971716,Solid Grounds Coffee House,39.6003540000,-104.9880190000,Cafe,4.0,Very Good,15,Cafe,,,
331,16972656,Tuscany Coffee,39.7458980000,-104.9927470000,"Cafe, Sandwich",3.5,Good,8,Cafe, Sandwich,,
332,16975204,2914 Coffee,39.7536006000,-105.0239637000,"Coffee and Tea, Cafe",3.5,Good,9,Coffee and Tea, Cafe,,
333,16973737,Kunjani Coffee,39.5349166667,-104.7950583333,Cafe,3.7,Good,18,Cafe,,,
334,16975394,La Belle Rosette,39.6726722222,-104.9594638889,"Cafe, Coffee and Tea",3.5,Good,7,Cafe, Coffee and Tea,,
335,16968667,Enchanted Grounds,39.5571888889,-104.9413694444,Cafe,3.6,Good,19,Cafe,,,
336,16975671,Novo Coffee,39.7443722222,-104.9897305556,Cafe,3.3,Average,7,Cafe,,,
337,16974150,Sojourner Coffee & Tea,39.6892277778,-104.9226222222,Cafe,3.9,Good,15,Cafe,,,
338,16967591,Cafe Europa,39.7151083333,-104.9814222222,Cafe,3.6,Good,20,Cafe,,,
339,16973936,Eclectic Cafe & Gallery,39.9791194444,-105.1308361111,Cafe,3.8,Good,16,Cafe,,,
340,16969107,Higher Grounds Cafe,39.7537000000,-105.2198500000,Cafe,3.6,Good,14,Cafe,,,
341,16969686,LaMar's Donuts and Coffee,39.9701777778,-105.1639944444,"Cafe, Donuts",3.8,Good,14,Cafe, Donuts,,
342,16968478,Duffeyroll Cafe,39.6523166667,-104.9289388889,"Cafe, Desserts",3.8,Good,17,Cafe, Desserts,,
343,16975583,40 Weight Coffee,39.8139611111,-105.1371833333,"Coffee and Tea, Cafe",3.3,Average,5,Coffee and Tea, Cafe,,
344,16973972,Hutch & Spoon,39.7630722222,-104.9794388889,Cafe,3.5,Good,19,Cafe,,,
345,16970879,Peet's Coffee & Tea - Sheraton Denver Downtown Hotel,39.7422300000,-104.9890210000,Cafe,3.5,Good,14,Cafe,,,
346,16973587,Illegal Grounds Coffeehouse,39.7434222222,-104.9756000000,Cafe,3.5,Good,18,Cafe,,,
347,16976367,Spur Coffee,39.6148833333,-105.0160138889,Cafe,3.4,Average,11,Cafe,,,
348,16975859,ink! Coffee,39.7550194444,-105.0049972222,Cafe,3.5,Good,16,Cafe,,,
349,16973407,Bagelry,39.6924166667,-105.3575361111,"Cafe, Bagels",3.8,Good,15,Cafe, Bagels,,
